Nombre,Cantidad,Componente
"RR1",1,"820 Ω Resistencia"
"RR2",1,"1 kΩ Resistencia"
"RR3",1,"1.2 kΩ Resistencia"
"RR4",1,"2.2 kΩ Resistencia"
"RR7",1,"390 Ω Resistencia"
"PF2",1,"5 , 5  Suministro de energía"
"PF1",1,"18 , 5  Suministro de energía"
"Meter1",1,"Amperaje Multímetro"
